Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
25,CA-2021-440131,2021-03-01,2021-03-02,First Class,CU-1042,Lisa Taylor,Corporate,Oregon,West,PRD-TEC-3950,Technology,Machines,Machines Item 274,4805.14,6,0.1,668.03
26,CA-2024-501126,2024-06-02,2024-06-09,Same Day,CU-1044,Mary Davis,Home Office,California,West,PRD-OFF-8529,Office Supplies,Envelopes,Envelopes Item 361,164.55,10,0.5,30.78
27,CA-2023-810526,2023-08-11,2023-08-14,Standard Class,CU-1170,William Williams,Corporate,California,West,PRD-OFF-7951,Office Supplies,Fasteners,Fasteners Item 806,1211.65,8,0.2,227.21
28,CA-2022-503380,2022-09-11,2022-09-13,Second Class,CU-1064,Michael Thompson,Corporate,Florida,East,PRD-FUR-5837,Furniture,Chairs,Chairs Item 122,4876.09,7,0.2,1690.6
29,CA-2022-693419,2022-07-17,2022-07-18,Same Day,CU-1168,David Miller,Corporate,Alabama,South,PRD-OFF-6772,Office Supplies,Binders,Binders Item 324,703.22,5,0.1,121.78
30,CA-2024-810687,2024-06-25,2024-06-28,Standard Class,CU-1162,Sarah Smith,Corporate,Georgia,South,PRD-OFF-6977,Office Supplies,Fasteners,Fasteners Item 849,32.62,1,0.5,-2.77
31,CA-2022-883790,2022-08-28,2022-08-31,Second Class,CU-1033,Lisa Williams,Corporate,Illinois,Central,PRD-FUR-5465,Furniture,Tables,Tables Item 950,2490.96,3,0.3,345.95
32,CA-2023-409478,2023-09-14,2023-09-21,Standard Class,CU-1042,Lisa Taylor,Corporate,Oregon,West,PRD-OFF-4696,Office Supplies,Storage,Storage Item 980,1542.08,8,0,369.12
33,CA-2024-194689,2024-02-16,2024-02-19,First Class,CU-1173,Fatima Smith,Consumer,Florida,East,PRD-FUR-5295,Furniture,Chairs,Chairs Item 698,1333.58,9,0.3,270.41
34,CA-2021-345180,2021-08-10,2021-08-16,First Class,CU-1097,John Jackson,Corporate,Oregon,West,PRD-FUR-8606,Furniture,Chairs,Chairs Item 817,3554.1,10,0,660.82
35,CA-2021-147549,2021-08-27,2021-08-29,Same Day,CU-1077,Mary Martin,Consumer,Florida,East,PRD-TEC-7078,Technology,Machines,Machines Item 786,479.04,2,0,35.88
36,CA-2023-878325,2023-05-09,2023-05-14,Same Day,CU-1190,Jessica Young,Corporate,Mississippi,South,PRD-OFF-5583,Office Supplies,Fasteners,Fasteners Item 133,201.08,2,0.4,64.86
37,CA-2022-566297,2022-03-21,2022-03-25,Standard Class,CU-1176,Charles Miller,Corporate,Tennessee,South,PRD-TEC-5520,Technology,Machines,Machines Item 294,4669.18,6,0.3,-339.69
38,CA-2021-322409,2021-07-07,2021-07-13,Standard Class,CU-1031,John Johnson,Consumer,Florida,East,PRD-OFF-4362,Office Supplies,Binders,Binders Item 170,315.0,6,0,80.05
39,CA-2022-326441,2022-03-01,2022-03-06,Second Class,CU-1195,Jennifer Harris,Consumer,Mississippi,South,PRD-TEC-9850,Technology,Machines,Machines Item 356,555.3,10,0,191.24
40,CA-2024-127032,2024-09-15,2024-09-22,First Class,CU-1044,Mary Davis,Home Office,California,West,PRD-TEC-1858,Technology,Phones,Phones Item 229,4793.04,4,0,-103.48
41,CA-2023-881886,2023-12-14,2023-12-15,Same Day,CU-1189,Lisa Thompson,Corporate,Minnesota,Central,PRD-TEC-4629,Technology,Copiers,Copiers Item 729,6304.86,6,0,651.94
42,CA-2022-774591,2022-09-10,2022-09-14,Same Day,CU-1011,Lisa Wilson,Consumer,Wisconsin,Central,PRD-TEC-8267,Technology,Phones,Phones Item 175,6168.61,7,0,744.06
43,CA-2024-168872,2024-05-30,2024-06-01,First Class,CU-1020,Lisa Garcia,Home Office,Virginia,East,PRD-TEC-8048,Technology,Machines,Machines Item 201,11141.31,7,0.2,1160.61
44,CA-2024-906315,2024-09-02,2024-09-08,Same Day,CU-1179,Charles Smith,Corporate,Illinois,Central,PRD-OFF-8430,Office Supplies,Envelopes,Envelopes Item 508,855.26,8,0.4,44.92
45,CA-2022-427704,2022-10-03,2022-10-07,First Class,CU-1106,Susan Thompson,Corporate,New York,East,PRD-OFF-2398,Office Supplies,Labels,Labels Item 195,208.4,3,0.5,-14.54
46,CA-2023-236435,2023-02-03,2023-02-10,First Class,CU-1110,William Garcia,Home Office,California,West,PRD-OFF-1842,Office Supplies,Binders,Binders Item 394,102.13,2,0.4,29.68
47,CA-2022-705991,2022-12-22,2022-12-23,Second Class,CU-1153,Robert Davis,Corporate,Virginia,East,PRD-OFF-7022,Office Supplies,Envelopes,Envelopes Item 217,389.84,8,0,22.44
48,CA-2024-946432,2024-03-21,2024-03-23,First Class,CU-1195,Jennifer Harris,Consumer,Tennessee,South,PRD-FUR-6751,Furniture,Chairs,Chairs Item 106,236.17,1,0.2,74.32
49,CA-2024-520252,2024-03-05,2024-03-11,Standard Class,CU-1046,Robert Harris,Home Office,Pennsylvania,East,PRD-TEC-8432,Technology,Accessories,Accessories Item 449,2708.86,2,0.1,187.69
50,CA-2022-440140,2022-10-01,2022-10-07,Standard Class,CU-1040,Yuki Moore,Home Office,Virginia,East,PRD-OFF-5458,Office Supplies,Paper,Paper Item 553,107.07,3,0,21.77
51,CA-2023-563516,2023-09-22,2023-09-27,Second Class,CU-1169,David Thomas,Corporate,Minnesota,Central,PRD-FUR-8972,Furniture,Bookcases,Bookcases Item 639,1065.47,9,0.4,-53.38
52,CA-2021-514463,2021-04-04,2021-04-06,Standard Class,CU-1170,William Williams,Corporate,Oregon,West,PRD-OFF-5186,Office Supplies,Binders,Binders Item 396,229.61,4,0.1,56.33
53,CA-2021-883301,2021-01-16,2021-01-20,Second Class,CU-1083,Linda Wilson,Corporate,New York,East,PRD-FUR-6802,Furniture,Tables,Tables Item 173,5121.27,7,0.1,640.76
54,CA-2023-582087,2023-06-13,2023-06-14,Same Day,CU-1101,Priya Jones,Home Office,California,West,PRD-TEC-7636,Technology,Machines,Machines Item 121,5031.72,10,0.4,152.37
55,CA-2024-972442,2024-06-19,2024-06-23,Standard Class,CU-1083,Linda Wilson,Corporate,Pennsylvania,East,PRD-OFF-7560,Office Supplies,Storage,Storage Item 636,1068.92,7,0.1,102.67
56,CA-2022-456005,2022-09-28,2022-10-04,Second Class,CU-1020,Lisa Garcia,Home Office,Florida,East,PRD-TEC-4176,Technology,Machines,Machines Item 894,2090.88,2,0,290.16
57,CA-2024-254864,2024-08-14,2024-08-21,Second Class,CU-1089,Susan Moore,Consumer,Michigan,Central,PRD-TEC-2234,Technology,Phones,Phones Item 281,2173.4,5,0,526.17
58,CA-2023-691119,2023-08-09,2023-08-16,First Class,CU-1197,Priya Lee,Home Office,Alabama,South,PRD-OFF-5961,Office Supplies,Appliances,Appliances Item 915,206.64,6,0,22.94
59,CA-2021-631981,2021-04-26,2021-04-29,Same Day,CU-1070,Priya Johnson,Consumer,Wisconsin,Central,PRD-TEC-2257,Technology,Machines,Machines Item 760,690.65,8,0.3,189.42
60,CA-2024-503159,2024-05-01,2024-05-06,Same Day,CU-1023,Wei Johnson,Consumer,Arizona,West,PRD-FUR-9214,Furniture,Chairs,Chairs Item 254,6917.4,10,0.3,1191.54
61,CA-2021-978053,2021-07-31,2021-08-07,Second Class,CU-1015,Mary Davis,Corporate,Nevada,West,PRD-FUR-9586,Furniture,Chairs,Chairs Item 635,197.09,1,0.5,68.18
62,CA-2023-396635,2023-01-16,2023-01-19,First Class,CU-1156,Jessica Johnson,Consumer,Ohio,Central,PRD-FUR-2548,Furniture,Furnishings,Furnishings Item 671,748.86,10,0.3,-52.67
63,CA-2022-858889,2022-08-05,2022-08-08,First Class,CU-1173,Fatima Smith,Consumer,Florida,East,PRD-OFF-6082,Office Supplies,Fasteners,Fasteners Item 771,237.26,2,0,74.15
64,CA-2021-843266,2021-09-22,2021-09-27,Same Day,CU-1178,Fatima Garcia,Corporate,Nevada,West,PRD-TEC-7937,Technology,Machines,Machines Item 620,9814.26,6,0,1871.69
65,CA-2023-289019,2023-01-13,2023-01-16,Same Day,CU-1092,Omar Brown,Consumer,Texas,South,PRD-TEC-5846,Technology,Machines,Machines Item 964,1967.04,4,0,-59.55
66,CA-2024-874524,2024-01-11,2024-01-18,First Class,CU-1025,John Miller,Home Office,Mississippi,South,PRD-OFF-3962,Office Supplies,Binders,Binders Item 951,183.3,10,0.4,-5.61
67,CA-2021-558933,2021-12-06,2021-12-12,First Class,CU-1177,Fatima Anderson,Consumer,Arizona,West,PRD-TEC-8355,Technology,Copiers,Copiers Item 339,6210.24,4,0.2,1481.61
68,CA-2022-922471,2022-09-26,2022-10-03,First Class,CU-1136,Linda Miller,Consumer,Washington,West,PRD-FUR-7256,Furniture,Tables,Tables Item 614,7385.65,10,0.5,1818.7
69,CA-2021-309398,2021-11-28,2021-12-05,First Class,CU-1135,John Davis,Home Office,Alabama,South,PRD-OFF-2680,Office Supplies,Fasteners,Fasteners Item 828,91.02,1,0.3,13.61
70,CA-2022-900185,2022-08-07,2022-08-08,Same Day,CU-1132,Joseph White,Corporate,New York,East,PRD-TEC-4637,Technology,Machines,Machines Item 936,1821.58,9,0.4,-106.98
71,CA-2021-155843,2021-02-24,2021-02-28,Second Class,CU-1115,William Williams,Corporate,Tennessee,South,PRD-FUR-6221,Furniture,Bookcases,Bookcases Item 201,7310.55,7,0.3,7.62
72,CA-2021-140163,2021-10-27,2021-10-29,Second Class,CU-1182,Chen Young,Consumer,Tennessee,South,PRD-FUR-1311,Furniture,Furnishings,Furnishings Item 362,5515.52,8,0,1696.77
73,CA-2024-738457,2024-01-29,2024-02-04,Standard Class,CU-1055,Priya Johnson,Corporate,Washington,West,PRD-OFF-7878,Office Supplies,Art,Art Item 754,256.7,5,0,-20.15
74,CA-2021-977330,2021-05-09,2021-05-10,Second Class,CU-1159,James Anderson,Corporate,Minnesota,Central,PRD-FUR-4941,Furniture,Chairs,Chairs Item 684,1374.51,3,0,242.83
75,CA-2024-189772,2024-09-22,2024-09-28,Standard Class,CU-1106,Susan Thompson,Corporate,Pennsylvania,East,PRD-OFF-8702,Office Supplies,Storage,Storage Item 144,999.9,9,0,75.7
76,CA-2023-883618,2023-02-04,2023-02-07,Standard Class,CU-1162,Sarah Smith,Corporate,Alabama,South,PRD-TEC-6447,Technology,Machines,Machines Item 236,3121.2,6,0,771.48
77,CA-2024-953025,2024-01-24,2024-01-27,Same Day,CU-1011,Lisa Wilson,Consumer,Michigan,Central,PRD-OFF-8498,Office Supplies,Fasteners,Fasteners Item 137,1025.52,8,0,-73.43
78,CA-2021-309159,2021-03-31,2021-04-07,First Class,CU-1075,Ahmed Taylor,Consumer,Washington,West,PRD-TEC-4131,Technology,Machines,Machines Item 392,3719.43,9,0.5,52.04
79,CA-2024-386488,2024-09-04,2024-09-07,Same Day,CU-1091,Lisa Martin,Consumer,Texas,South,PRD-TEC-4060,Technology,Machines,Machines Item 608,6297.69,7,0.4,331.05
80,CA-2023-644500,2023-01-23,2023-01-30,Same Day,CU-1177,Fatima Anderson,Consumer,Nevada,West,PRD-FUR-6262,Furniture,Chairs,Chairs Item 205,1325.98,2,0,192.88
81,CA-2024-421384,2024-09-15,2024-09-18,Second Class,CU-1020,Lisa Garcia,Home Office,Virginia,East,PRD-FUR-6776,Furniture,Furnishings,Furnishings Item 729,4374.16,8,0,993.23
82,CA-2024-160144,2024-08-02,2024-08-09,First Class,CU-1111,Richard Johnson,Corporate,Virginia,East,PRD-TEC-3339,Technology,Copiers,Copiers Item 969,14509.26,9,0,4770.0
83,CA-2021-170499,2021-03-13,2021-03-15,First Class,CU-1155,Jessica Taylor,Home Office,Minnesota,Central,PRD-TEC-8371,Technology,Machines,Machines Item 479,13310.22,7,0,2293.25
84,CA-2021-244383,2021-06-07,2021-06-12,Same Day,CU-1095,Maria Taylor,Consumer,Alabama,South,PRD-OFF-1424,Office Supplies,Storage,Storage Item 853,710.96,6,0.1,236.21
85,CA-2023-688956,2023-11-27,2023-12-01,First Class,CU-1047,William Martin,Home Office,Minnesota,Central,PRD-TEC-9047,Technology,Machines,Machines Item 304,2997.82,8,0.2,636.41
86,CA-2021-281043,2021-06-01,2021-06-05,Standard Class,CU-1031,John Johnson,Consumer,Pennsylvania,East,PRD-OFF-5757,Office Supplies,Appliances,Appliances Item 407,811.38,6,0,119.68
87,CA-2023-335134,2023-01-11,2023-01-16,Second Class,CU-1040,Yuki Moore,Home Office,Pennsylvania,East,PRD-TEC-7044,Technology,Accessories,Accessories Item 578,6364.92,4,0,397.19
88,CA-2024-168941,2024-06-07,2024-06-08,Same Day,CU-1141,Priya Brown,Corporate,Pennsylvania,East,PRD-FUR-2208,Furniture,Furnishings,Furnishings Item 228,3422.9,9,0.4,925.9
89,CA-2023-813145,2023-07-11,2023-07-15,Second Class,CU-1081,Jessica Young,Home Office,Texas,South,PRD-OFF-3114,Office Supplies,Storage,Storage Item 543,1167.84,9,0,286.71
90,CA-2021-260448,2021-09-12,2021-09-17,Second Class,CU-1128,Michael Jackson,Home Office,Illinois,Central,PRD-FUR-9501,Furniture,Tables,Tables Item 390,7581.92,6,0.1,422.39
91,CA-2022-677599,2022-02-07,2022-02-13,First Class,CU-1020,Lisa Garcia,Home Office,Virginia,East,PRD-FUR-3526,Furniture,Tables,Tables Item 275,8142.1,10,0,1354.14
92,CA-2024-983456,2024-05-24,2024-05-27,Standard Class,CU-1168,David Miller,Corporate,Mississippi,South,PRD-OFF-7825,Office Supplies,Binders,Binders Item 732,22.19,2,0.2,4.28
93,CA-2023-672079,2023-10-17,2023-10-23,Same Day,CU-1163,Carlos Thomas,Home Office,New York,East,PRD-FUR-2195,Furniture,Bookcases,Bookcases Item 805,2910.94,4,0.4,98.52
94,CA-2023-607774,2023-06-20,2023-06-24,First Class,CU-1015,Mary Davis,Corporate,Washington,West,PRD-FUR-6658,Furniture,Tables,Tables Item 508,1688.33,10,0.3,388.97
95,CA-2023-211341,2023-11-21,2023-11-26,Same Day,CU-1033,Lisa Williams,Corporate,Michigan,Central,PRD-FUR-1829,Furniture,Tables,Tables Item 397,761.72,2,0.1,-27.88
96,CA-2023-267457,2023-05-07,2023-05-09,Second Class,CU-1098,James Taylor,Consumer,Mississippi,South,PRD-FUR-6055,Furniture,Bookcases,Bookcases Item 609,1143.68,3,0.5,142.32
97,CA-2023-579441,2023-03-17,2023-03-22,First Class,CU-1005,Karen Miller,Home Office,Illinois,Central,PRD-TEC-8710,Technology,Accessories,Accessories Item 392,74.28,1,0.5,12.54
98,CA-2021-240440,2021-08-09,2021-08-13,Same Day,CU-1137,Mary Davis,Corporate,California,West,PRD-FUR-4189,Furniture,Bookcases,Bookcases Item 471,579.06,6,0,90.7
99,CA-2021-628750,2021-05-31,2021-06-04,Standard Class,CU-1141,Priya Brown,Corporate,Virginia,East,PRD-FUR-6555,Furniture,Bookcases,Bookcases Item 671,2634.07,3,0.4,178.96
100,CA-2022-633853,2022-02-12,2022-02-17,Standard Class,CU-1093,Patricia Brown,Home Office,Pennsylvania,East,PRD-FUR-9508,Furniture,Chairs,Chairs Item 567,162.01,1,0.3,42.41
101,CA-2023-443897,2023-11-22,2023-11-24,Second Class,CU-1038,Joseph Smith,Home Office,Mississippi,South,PRD-OFF-9311,Office Supplies,Storage,Storage Item 948,1109.75,7,0.2,185.52
102,CA-2023-690268,2023-10-01,2023-10-07,Standard Class,CU-1130,Richard Thompson,Consumer,Mississippi,South,PRD-FUR-6040,Furniture,Furnishings,Furnishings Item 915,3101.52,6,0,1057.48
103,CA-2024-378428,2024-05-07,2024-05-11,Standard Class,CU-1185,James Jackson,Corporate,California,West,PRD-OFF-4968,Office Supplies,Envelopes,Envelopes Item 132,592.14,10,0.4,-19.84
104,CA-2022-562462,2022-01-26,2022-01-27,Second Class,CU-1146,Wei Thompson,Corporate,New York,East,PRD-FUR-8726,Furniture,Furnishings,Furnishings Item 993,4389.17,7,0.4,552.24
105,CA-2024-643878,2024-12-16,2024-12-18,Same Day,CU-1188,Ahmed Martin,Home Office,Texas,South,PRD-TEC-9734,Technology,Machines,Machines Item 450,7063.29,9,0,754.7
106,CA-2024-855944,2024-10-16,2024-10-23,Same Day,CU-1139,Maria Thomas,Corporate,Michigan,Central,PRD-OFF-4684,Office Supplies,Labels,Labels Item 404,613.38,4,0.2,92.71
107,CA-2024-823769,2024-12-14,2024-12-16,First Class,CU-1197,Priya Lee,Home Office,Tennessee,South,PRD-OFF-9899,Office Supplies,Appliances,Appliances Item 488,467.33,8,0.2,13.79
108,CA-2021-144109,2021-10-27,2021-10-30,First Class,CU-1101,Priya Jones,Home Office,Oregon,West,PRD-FUR-9824,Furniture,Chairs,Chairs Item 377,3977.12,8,0.5,-14.74
109,CA-2021-745584,2021-10-09,2021-10-10,Second Class,CU-1143,Karen Davis,Consumer,Michigan,Central,PRD-OFF-1860,Office Supplies,Envelopes,Envelopes Item 202,122.06,1,0.1,22.83
110,CA-2023-814281,2023-08-26,2023-08-27,Second Class,CU-1105,Carlos Davis,Home Office,Oregon,West,PRD-TEC-4267,Technology,Phones,Phones Item 874,4630.99,7,0.5,531.88
111,CA-2022-162036,2022-08-08,2022-08-14,Standard Class,CU-1073,Robert Miller,Corporate,Virginia,East,PRD-TEC-1595,Technology,Accessories,Accessories Item 956,2594.64,3,0,830.97
112,CA-2022-403528,2022-01-17,2022-01-23,First Class,CU-1101,Priya Jones,Home Office,Nevada,West,PRD-TEC-9901,Technology,Phones,Phones Item 636,8578.01,10,0.3,240.64
113,CA-2023-386090,2023-10-30,2023-11-03,First Class,CU-1126,Carlos Jackson,Corporate,Ohio,Central,PRD-TEC-1230,Technology,Phones,Phones Item 854,3541.63,3,0.2,791.09
114,CA-2024-894068,2024-03-08,2024-03-14,Same Day,CU-1086,Lisa Young,Consumer,Oregon,West,PRD-TEC-2562,Technology,Accessories,Accessories Item 289,7383.6,7,0,593.46
115,CA-2022-107161,2022-10-25,2022-10-27,Second Class,CU-1035,Karen Smith,Home Office,Nevada,West,PRD-FUR-1187,Furniture,Furnishings,Furnishings Item 367,6372.91,8,0.3,228.63
116,CA-2024-165142,2024-11-19,2024-11-21,Same Day,CU-1167,Jennifer Johnson,Corporate,Michigan,Central,PRD-OFF-5833,Office Supplies,Paper,Paper Item 476,144.56,5,0.2,30.45
117,CA-2022-601410,2022-03-25,2022-03-27,First Class,CU-1157,Richard Young,Home Office,Washington,West,PRD-TEC-4578,Technology,Copiers,Copiers Item 880,4965.73,7,0.5,1195.79
118,CA-2021-568449,2021-06-17,2021-06-22,Standard Class,CU-1063,Chen Brown,Consumer,North Carolina,East,PRD-OFF-3455,Office Supplies,Storage,Storage Item 268,241.92,10,0.1,38.15
119,CA-2023-813341,2023-06-24,2023-06-25,Standard Class,CU-1083,Linda Wilson,Corporate,North Carolina,East,PRD-TEC-9409,Technology,Copiers,Copiers Item 525,8268.21,9,0,860.26
120,CA-2021-584838,2021-04-29,2021-05-04,Standard Class,CU-1116,Anna Martin,Corporate,Mississippi,South,PRD-OFF-2196,Office Supplies,Labels,Labels Item 146,382.34,7,0,90.08
121,CA-2024-667451,2024-12-05,2024-12-06,Same Day,CU-1108,Priya Jackson,Consumer,Virginia,East,PRD-TEC-7887,Technology,Phones,Phones Item 483,609.83,1,0,150.04
122,CA-2023-184148,2023-02-13,2023-02-17,First Class,CU-1097,John Jackson,Corporate,Nevada,West,PRD-OFF-4648,Office Supplies,Fasteners,Fasteners Item 954,47.76,2,0.4,6.59
123,CA-2022-806215,2022-09-04,2022-09-08,Same Day,CU-1000,Anna Brown,Consumer,Texas,South,PRD-OFF-4088,Office Supplies,Art,Art Item 996,149.13,4,0.3,-4.5
124,CA-2021-792267,2021-03-07,2021-03-14,Second Class,CU-1185,James Jackson,Corporate,California,West,PRD-FUR-1797,Furniture,Chairs,Chairs Item 350,515.68,4,0,52.03
125,CA-2023-345722,2023-04-04,2023-04-08,Standard Class,CU-1189,Lisa Thompson,Corporate,Illinois,Central,PRD-OFF-6224,Office Supplies,Envelopes,Envelopes Item 691,247.82,3,0.2,1.33
126,CA-2022-250219,2022-05-01,2022-05-04,Same Day,CU-1153,Robert Davis,Corporate,Virginia,East,PRD-OFF-7999,Office Supplies,Envelopes,Envelopes Item 669,293.3,5,0,53.29
127,CA-2022-803953,2022-12-07,2022-12-13,Same Day,CU-1126,Carlos Jackson,Corporate,Illinois,Central,PRD-FUR-9813,Furniture,Bookcases,Bookcases Item 584,1047.27,7,0.4,-18.07
128,CA-2022-841948,2022-09-08,2022-09-15,Standard Class,CU-1061,Yuki Johnson,Home Office,Washington,West,PRD-TEC-3196,Technology,Copiers,Copiers Item 497,4615.49,9,0.4,695.92
129,CA-2022-778120,2022-02-21,2022-02-24,First Class,CU-1062,Mary Thomas,Home Office,Tennessee,South,PRD-TEC-7179,Technology,Copiers,Copiers Item 789,1970.08,2,0.1,-151.32
130,CA-2021-176319,2021-03-22,2021-03-29,Same Day,CU-1154,Maria Miller,Consumer,Wisconsin,Central,PRD-TEC-1251,Technology,Accessories,Accessories Item 316,4887.32,4,0.3,178.07
131,CA-2023-829417,2023-09-08,2023-09-10,Same Day,CU-1048,Michael Thompson,Home Office,New York,East,PRD-OFF-9743,Office Supplies,Envelopes,Envelopes Item 764,360.51,4,0.2,25.7
132,CA-2022-637727,2022-06-20,2022-06-23,Standard Class,CU-1091,Lisa Martin,Consumer,Tennessee,South,PRD-FUR-7073,Furniture,Furnishings,Furnishings Item 420,6437.7,8,0.3,2005.01
133,CA-2024-332022,2024-02-27,2024-03-05,Standard Class,CU-1105,Carlos Davis,Home Office,California,West,PRD-OFF-4214,Office Supplies,Fasteners,Fasteners Item 437,338.7,5,0.4,11.12
134,CA-2024-357666,2024-03-12,2024-03-19,First Class,CU-1058,Linda Harris,Corporate,Florida,East,PRD-FUR-6770,Furniture,Bookcases,Bookcases Item 273,5803.08,8,0.5,623.09
135,CA-2023-668471,2023-09-28,2023-09-30,Standard Class,CU-1035,Karen Smith,Home Office,Arizona,West,PRD-OFF-7756,Office Supplies,Binders,Binders Item 240,378.62,2,0,92.37
136,CA-2021-258366,2021-05-20,2021-05-26,Same Day,CU-1161,Sarah Davis,Corporate,Ohio,Central,PRD-TEC-1257,Technology,Accessories,Accessories Item 106,503.64,6,0.5,99.05
137,CA-2023-117538,2023-04-23,2023-04-24,First Class,CU-1136,Linda Miller,Consumer,Arizona,West,PRD-OFF-3937,Office Supplies,Labels,Labels Item 209,61.76,1,0.4,16.23
138,CA-2021-301255,2021-11-01,2021-11-03,First Class,CU-1024,Chen Taylor,Corporate,Mississippi,South,PRD-OFF-7652,Office Supplies,Labels,Labels Item 570,800.05,5,0,54.3
